Date,Open,High,Low,Close,Adj Close,Volume
2020-04-22,163.6,229.11,193.42,286.56,256.13,7470318
2020-04-23,182.85,168.97,250.61,161.67,277.27,2611722
2020-04-24,112.83,120.22,101.19,158.53,189.66,6311779
2020-04-27,238.49,163.68,186.93,213.3,243.26,5669544
2020-04-28,213.32,133.63,167.52,127.48,134.19,3621849
2020-04-29,153.08,211.23,221.83,169.94,162.95,1564271
2020-04-30,204.65,163.61,255.19,110.64,226.42,9680960
2020-05-01,118.79,291.61,115.23,175.81,129.58,2876117
2020-05-04,215.19,293.15,131.61,122.83,291.14,6974663
2020-05-05,285.86,224.03,233.02,212.36,125.57,7183682
2020-05-06,163.71,223.5,247.68,228.32,255.35,4544708
2020-05-07,233.48,297.08,217.64,297.42,163.72,9070840
2020-05-08,126.36,277.46,296.56,139.03,246.58,2888625
2020-05-11,243.27,253.01,199.89,141.44,180.95,6661562
2020-05-12,157.88,162.72,127.26,289.48,249.53,5433901
2020-05-13,136.64,173.11,237.26,272.93,280.07,7728527
2020-05-14,217.3,140.25,220.42,223.21,219.23,3634548
2020-05-15,104.02,197.43,218.08,268.28,132.79,9750253
2020-05-18,265.79,298.07,209.17,141.94,290.21,4037666
2020-05-19,100.94,282.43,287.82,274.81,206.5,6208423
2020-05-20,235.56,123.67,125.83,273.46,147.89,4876306
2020-05-21,154.0,105.04,114.64,149.62,181.69,9073492
2020-05-22,247.04,279.73,130.82,201.67,244.22,1685299
2020-05-25,292.44,207.43,149.0,285.95,287.06,7466669
2020-05-26,149.75,140.04,218.59,235.83,281.32,7076374
2020-05-27,215.23,234.73,222.49,232.1,128.06,6001105
2020-05-28,218.41,228.84,146.52,211.95,274.36,7127068
2020-05-29,214.45,124.42,197.85,153.77,218.03,2915692
2020-06-01,144.62,151.92,196.41,295.68,181.94,9218647
2020-06-02,290.55,112.02,190.62,189.5,192.87,8893447
2020-06-03,189.43,141.97,260.71,162.29,258.92,3592154
2020-06-04,269.28,126.46,194.34,245.72,268.96,7749331
2020-06-05,239.9,138.65,251.67,221.54,231.58,8547576
2020-06-08,159.49,237.09,133.3,168.45,111.69,6822728
2020-06-09,262.76,109.9,206.39,160.76,261.69,8863342
2020-06-10,179.3,120.37,264.82,142.9,105.15,7460667
2020-06-11,276.22,126.83,135.54,115.7,177.55,6461448
2020-06-12,216.25,163.31,192.98,225.14,188.83,3929732
2020-06-15,276.35,159.75,221.82,201.14,201.22,3422006
2020-06-16,238.51,151.01,136.95,146.97,151.19,8152353
2020-06-17,245.05,250.11,251.35,111.02,183.81,8370817
2020-06-18,200.26,299.6,115.8,103.78,257.46,5457267
2020-06-19,291.22,206.8,289.28,247.7,154.25,3615083
2020-06-22,228.8,288.84,193.64,137.65,262.65,9633592
2020-06-23,184.77,179.32,167.22,153.33,102.52,9750467
2020-06-24,221.28,121.34,123.36,102.82,128.56,5418612
2020-06-25,103.84,181.75,186.52,130.13,285.06,4010564
2020-06-26,160.31,159.23,231.96,274.89,194.08,6518203
2020-06-29,232.03,198.68,118.9,148.41,110.16,8775177
2020-06-30,158.02,231.41,161.25,290.79,222.09,7110727
2020-07-01,223.6,192.21,267.2,132.87,191.2,5253804
2020-07-02,185.75,287.03,229.24,150.65,117.72,7439182
2020-07-03,127.09,276.95,141.27,273.54,169.59,4304121
2020-07-06,159.66,240.4,132.18,185.32,222.89,9133313
2020-07-07,213.99,197.94,280.9,153.57,225.54,3096853
2020-07-08,218.17,126.34,157.4,238.56,277.38,1745877
2020-07-09,214.87,179.4,135.9,110.25,198.5,2916006
2020-07-10,230.64,240.88,299.99,278.12,120.95,3177503
2020-07-13,230.42,156.98,161.84,268.31,122.71,2486546
2020-07-14,186.28,120.8,124.95,117.16,183.36,2989663
2020-07-15,279.31,281.58,192.35,259.72,137.06,9354716
2020-07-16,173.51,241.81,186.87,292.23,284.19,1781596
2020-07-17,187.17,223.06,285.36,198.41,142.42,6113914
2020-07-20,278.38,258.5,126.84,213.63,175.27,6303145
2020-07-21,261.24,267.13,118.23,235.96,202.48,7155363
2020-07-22,240.78,196.69,118.6,153.35,166.08,5406692
2020-07-23,120.05,276.24,280.86,229.93,232.92,1817823
2020-07-24,283.9,283.28,189.87,194.97,221.05,8577469
2020-07-27,242.85,154.31,130.12,181.11,287.87,7025793
2020-07-28,299.77,221.51,218.77,280.56,266.39,1193896
2020-07-29,129.89,205.32,207.52,259.58,220.59,4400415
2020-07-30,273.63,207.59,139.68,286.92,189.34,4600608
2020-07-31,132.5,287.53,220.61,267.33,222.95,1763678
2020-08-03,223.11,161.04,168.05,108.36,224.61,6162766
2020-08-04,124.76,296.69,147.67,221.31,153.92,1389845
2020-08-05,269.6,280.43,202.08,239.53,135.6,1681376
2020-08-06,261.46,191.74,158.33,232.97,203.8,8266443
2020-08-07,213.82,263.49,144.43,154.39,161.45,8191398
2020-08-10,181.44,253.81,275.94,185.13,177.05,4789036
2020-08-11,113.83,235.58,131.15,107.81,100.33,5198730
2020-08-12,239.49,163.97,156.12,118.82,236.34,7462625
2020-08-13,190.71,139.29,177.23,212.1,111.6,8702007
2020-08-14,244.41,234.31,154.73,216.48,247.09,1151039
2020-08-17,273.28,268.59,142.14,140.25,141.59,8495850
2020-08-18,295.1,103.25,254.23,189.64,132.95,8385064
2020-08-19,271.16,228.56,165.8,194.42,220.11,3289819
2020-08-20,102.34,188.57,122.5,102.27,296.69,2007685
2020-08-21,172.0,279.62,208.18,128.5,184.41,6029059
2020-08-24,246.0,164.29,125.1,224.86,273.86,9749858
2020-08-25,134.33,194.84,171.5,298.56,112.37,1582682
2020-08-26,204.21,202.95,276.37,230.08,201.73,3364355
2020-08-27,110.87,128.09,173.83,124.04,236.35,6548528
2020-08-28,140.0,242.58,226.5,264.29,175.08,3740247
2020-08-31,103.7,266.1,202.93,186.31,125.89,4163336
2020-09-01,258.74,111.58,127.54,116.74,103.08,6673450
2020-09-02,144.78,158.28,229.81,219.96,177.35,4007306
2020-09-03,169.07,107.61,271.21,145.61,248.55,4332989
2020-09-04,285.62,291.31,118.64,183.36,298.11,4634603
2020-09-07,240.88,233.43,250.74,163.66,192.61,5105838
2020-09-08,106.37,292.84,238.04,228.57,158.98,8668967
2020-09-09,132.94,206.3,273.33,186.21,169.33,8512815
2020-09-10,224.3,260.41,120.82,120.8,118.39,5255985
2020-09-11,215.45,174.88,161.14,143.14,190.02,3172468
2020-09-14,147.58,170.76,238.86,200.09,225.43,3975450
2020-09-15,286.84,175.65,104.4,257.84,224.72,1130093
2020-09-16,222.79,231.57,246.82,101.95,102.55,8163199
2020-09-17,207.13,171.89,271.6,222.49,226.75,9523199
2020-09-18,217.98,280.07,190.66,123.18,233.14,1211367
2020-09-21,246.02,296.65,186.87,220.81,200.4,4446149
2020-09-22,162.39,106.09,155.69,267.36,288.98,3049455
2020-09-23,179.64,138.72,101.01,145.7,151.61,7450838
2020-09-24,141.97,122.45,137.26,199.1,270.38,1084529
2020-09-25,137.24,108.47,295.97,254.81,134.84,1538185
2020-09-28,288.87,145.55,273.46,135.12,152.39,3798476
2020-09-29,247.91,189.36,153.3,130.51,140.98,4488160
2020-09-30,198.09,267.4,292.75,281.01,277.06,9258550
2020-10-01,145.48,144.36,173.54,238.93,258.71,5039420
2020-10-02,150.87,198.79,159.52,247.31,190.1,3090479
2020-10-05,111.61,285.92,130.56,268.79,175.6,6498204
2020-10-06,186.88,233.44,280.32,207.89,102.58,7553050
2020-10-07,162.36,259.62,297.4,197.68,240.39,3294499
2020-10-08,239.27,210.2,165.48,211.25,292.99,2285714
2020-10-09,175.55,296.09,240.69,243.4,255.7,7686124
2020-10-12,135.92,217.73,167.06,178.19,146.62,6914035
2020-10-13,104.94,109.1,121.0,119.03,152.9,2677576
2020-10-14,113.45,139.6,178.54,127.12,184.56,9475569
2020-10-15,235.88,180.95,210.31,294.78,181.55,6376183
2020-10-16,190.74,220.26,124.6,110.34,146.47,3162326
2020-10-19,207.32,254.39,263.65,242.32,258.32,7661945
2020-10-20,279.33,182.62,199.47,288.74,257.22,2231573
2020-10-21,298.07,242.01,146.88,125.85,241.29,1036649
2020-10-22,143.38,257.97,218.55,244.45,100.99,9757952
2020-10-23,232.62,163.45,258.65,160.49,283.48,7502699
2020-10-26,152.66,295.85,165.52,147.39,167.51,6915192
2020-10-27,104.13,229.93,240.3,270.52,105.76,3203605
2020-10-28,251.68,276.2,185.57,281.87,227.48,9568048
2020-10-29,164.0,211.19,292.81,169.41,247.52,2377373
2020-10-30,176.69,248.32,254.19,226.53,234.19,8926141
2020-11-02,217.66,254.11,171.27,135.19,178.18,5648072
2020-11-03,266.21,281.65,103.55,257.95,272.23,9001813
2020-11-04,225.8,130.07,231.5,276.25,171.3,9833707
2020-11-05,274.53,211.66,139.57,163.73,207.65,6238153
2020-11-06,154.71,185.68,124.38,230.59,284.35,5212987
2020-11-09,259.61,284.63,286.36,275.28,245.58,2316841
2020-11-10,137.13,121.02,299.99,103.07,118.93,2984563
2020-11-11,290.56,296.51,153.98,271.15,255.43,4368688
2020-11-12,237.5,275.09,160.35,214.42,280.34,8712469
2020-11-13,143.1,114.77,133.0,182.8,265.08,2367837
2020-11-16,289.47,198.19,191.54,204.52,195.35,2173735
2020-11-17,246.17,243.51,273.17,264.81,265.03,3091991
2020-11-18,150.79,247.63,240.3,244.43,115.13,9481962
2020-11-19,142.66,281.3,269.27,200.25,150.85,3577267
2020-11-20,203.64,259.97,145.7,197.53,273.37,9621382
2020-11-23,105.13,162.19,246.09,279.85,108.28,3698289
2020-11-24,141.49,199.69,283.71,146.47,179.61,7874662
2020-11-25,184.94,240.36,156.28,119.14,272.09,4500757
2020-11-26,174.83,127.69,238.13,235.73,189.17,7038185
2020-11-27,192.72,138.8,180.13,240.44,116.92,6896573
2020-11-30,155.53,196.21,158.05,213.68,191.82,9425632
2020-12-01,217.36,159.65,293.92,152.51,246.44,9340050
2020-12-02,272.77,272.51,169.73,159.19,163.28,8620309
2020-12-03,123.51,217.26,121.57,223.41,281.31,3040136
2020-12-04,203.48,169.73,177.72,154.59,288.16,8737175
2020-12-07,126.41,269.77,189.54,199.92,133.55,9809725
2020-12-08,243.37,260.98,250.44,166.41,118.68,5776838
2020-12-09,179.21,299.67,289.98,202.09,159.87,1963676
2020-12-10,213.08,269.46,263.41,145.87,193.81,5001904
2020-12-11,136.66,182.89,286.19,139.61,131.4,1971423
2020-12-14,128.97,125.5,195.01,246.8,148.31,2408967
2020-12-15,197.61,268.13,243.86,177.15,286.66,2260569
2020-12-16,171.12,111.95,161.81,146.51,242.98,7599806
2020-12-17,288.09,170.05,113.92,271.68,219.59,3611524
2020-12-18,253.07,283.95,173.09,180.34,241.59,9416129
2020-12-21,249.73,292.15,239.58,123.17,100.55,6000241
2020-12-22,280.74,228.11,154.92,241.61,129.1,6120524
2020-12-23,116.68,237.73,272.28,155.99,238.35,5651591
2020-12-24,210.44,108.49,258.15,213.05,242.99,3407332
2020-12-25,216.9,202.9,138.81,224.74,270.59,5137776
2020-12-28,292.39,209.37,166.17,292.51,217.11,7924728
2020-12-29,158.43,168.02,265.06,138.22,211.45,6007960
2020-12-30,148.17,113.72,148.79,156.83,179.53,5423232
2020-12-31,120.06,145.78,166.32,286.44,263.31,7409954
2021-01-01,103.29,171.6,168.61,243.66,270.4,9733101
2021-01-04,285.91,187.03,260.21,189.87,190.32,7282511
2021-01-05,233.98,218.19,107.41,246.95,175.12,3095874
2021-01-06,257.03,244.48,114.76,182.68,110.08,1340778
2021-01-07,156.35,163.53,215.69,182.01,258.42,9088516
2021-01-08,217.28,165.79,179.42,131.28,234.61,8604674
2021-01-11,112.79,103.94,226.58,204.41,187.84,1341049
2021-01-12,197.13,108.17,153.29,152.53,200.94,8817930
2021-01-13,295.5,151.56,281.92,226.72,279.21,7012388
2021-01-14,275.3,248.05,252.19,179.72,275.53,9138922
2021-01-15,167.63,225.66,113.55,270.74,135.82,6663441
2021-01-18,292.31,253.96,256.78,254.27,269.8,2585262
2021-01-19,146.34,253.78,293.92,129.59,201.95,9786152
2021-01-20,289.86,271.31,288.49,218.22,121.22,3948881
2021-01-21,288.28,244.06,247.1,242.75,162.3,9757167
2021-01-22,259.84,295.8,124.72,202.89,237.39,9254133
2021-01-25,226.09,279.77,215.22,122.79,278.69,4792282
2021-01-26,274.86,217.34,156.85,200.65,121.67,4504406
2021-01-27,158.6,217.63,294.04,186.58,221.93,8843044
2021-01-28,269.79,106.85,243.5,165.15,235.63,4005052
2021-01-29,223.58,299.71,222.15,216.51,155.24,5388940
2021-02-01,102.65,126.32,239.02,164.97,251.33,8830727
2021-02-02,169.45,248.07,187.6,147.11,120.67,2466322
2021-02-03,129.63,264.2,174.55,247.18,147.94,8619391
2021-02-04,296.37,174.61,287.16,142.67,100.1,8024822
2021-02-05,195.67,139.37,166.39,261.06,200.55,5250823
2021-02-08,199.48,119.75,108.29,295.83,152.69,6942356
2021-02-09,227.89,249.72,180.17,188.25,115.61,9683057
2021-02-10,173.72,190.53,258.07,262.48,276.18,8723480
2021-02-11,127.38,242.74,229.69,133.67,139.73,4567026
2021-02-12,264.42,283.08,292.43,259.46,213.46,9511898
2021-02-15,137.97,129.32,121.24,292.49,154.29,9398960
2021-02-16,202.26,283.83,282.31,203.4,219.5,3930220
2021-02-17,144.86,182.33,173.77,151.14,230.86,5298315
2021-02-18,119.57,161.05,194.8,132.17,245.12,7898850
2021-02-19,272.44,288.61,185.7,283.33,159.15,1560671
2021-02-22,294.58,298.13,123.29,164.91,109.45,2508933
2021-02-23,292.17,139.78,149.56,199.4,271.45,2811696
2021-02-24,281.31,231.37,248.45,186.69,293.86,9950176
2021-02-25,254.81,121.3,104.6,187.04,277.24,1820346
2021-02-26,166.63,230.18,126.78,253.05,116.52,6019910
2021-03-01,116.22,265.46,105.04,287.03,257.03,2316769
2021-03-02,181.45,236.9,271.48,227.35,197.2,6447168
2021-03-03,146.45,183.47,223.46,291.43,226.42,8596666
2021-03-04,126.5,176.61,133.99,138.09,222.34,8671939
2021-03-05,110.69,178.62,253.75,212.79,207.01,8215167
2021-03-08,245.12,217.94,293.36,237.1,235.02,8550459
2021-03-09,102.29,276.31,286.91,243.0,223.26,1692015
2021-03-10,254.12,285.81,284.31,251.17,215.37,5088773
2021-03-11,129.39,110.71,101.56,166.63,128.56,7803500
2021-03-12,115.9,136.32,217.8,276.44,272.99,6099131
2021-03-15,117.92,122.44,151.33,126.34,250.7,5148322
2021-03-16,234.41,138.67,212.93,155.71,292.87,4858817
2021-03-17,149.07,169.32,163.61,193.74,258.35,1091239
2021-03-18,184.11,201.31,130.73,218.4,216.5,6185163
2021-03-19,211.47,225.89,188.9,159.06,283.43,7763250
2021-03-22,272.11,246.43,199.02,281.57,230.85,1675725
2021-03-23,245.41,278.02,297.95,190.37,162.03,4948620
2021-03-24,154.07,297.82,108.48,120.07,135.1,6981201
2021-03-25,126.3,232.57,160.23,263.81,220.86,3166105
2021-03-26,111.07,269.07,270.38,293.09,247.23,8537955
2021-03-29,160.32,255.61,231.94,169.27,264.83,4227959
2021-03-30,152.42,161.51,265.34,210.93,157.06,4033058
2021-03-31,191.23,275.14,232.06,216.61,280.4,8123336
2021-04-01,236.66,108.55,251.91,260.32,215.59,9564819
2021-04-02,239.13,100.07,198.58,130.37,244.62,8031471
2021-04-05,156.7,154.75,140.98,268.25,261.63,1956787
2021-04-06,175.99,192.42,262.0,244.32,286.26,1371102
2021-04-07,136.23,227.67,213.56,106.98,158.0,6336758
2021-04-08,257.71,120.35,127.9,213.38,178.49,9920691
2021-04-09,111.37,234.6,260.98,105.61,279.99,7658488
2021-04-12,239.4,260.36,291.72,199.29,266.9,4598385
2021-04-13,255.74,137.06,169.23,219.88,179.83,6239779
2021-04-14,255.48,183.03,158.7,226.98,193.47,1827027
2021-04-15,151.88,204.0,116.36,285.38,243.43,4387542
2021-04-16,174.76,190.36,232.9,159.41,112.25,1419700
2021-04-19,217.52,259.97,291.79,268.91,173.46,7474671
2021-04-20,154.56,292.1,127.2,190.44,141.25,4720674
2021-04-21,174.17,259.79,197.03,233.39,203.76,8466057
2021-04-22,139.41,115.6,119.65,261.59,254.42,4725330
2021-04-23,191.97,260.99,106.82,244.81,125.98,2160756
2021-04-26,108.92,113.32,232.9,259.1,297.35,8513196
2021-04-27,259.96,147.19,273.54,227.21,193.42,9832415
2021-04-28,115.39,130.62,167.51,260.16,254.6,5963330
2021-04-29,203.77,139.5,275.15,281.8,170.48,3033276
2021-04-30,161.36,205.66,123.41,280.88,197.63,6637326
2021-05-03,215.51,234.34,147.59,165.58,292.97,6300682
2021-05-04,291.89,194.06,280.32,294.39,238.05,1096967
2021-05-05,229.11,291.94,201.7,111.53,105.13,5678580
2021-05-06,107.07,148.06,221.64,223.28,146.4,2597547
2021-05-07,186.08,252.63,107.6,199.04,151.85,3020351
2021-05-10,202.0,274.04,125.68,146.1,291.78,5820846
2021-05-11,207.24,212.41,111.16,207.03,253.91,7166278
2021-05-12,236.28,191.24,281.0,113.19,235.73,7383982
2021-05-13,155.52,219.24,126.96,210.74,113.93,2485945
2021-05-14,125.77,185.76,269.93,270.89,260.76,4095161
2021-05-17,178.54,211.04,170.21,128.19,136.33,8711326
2021-05-18,291.28,183.39,260.12,165.07,129.76,2502169
2021-05-19,137.43,180.09,173.01,226.22,273.77,7225198
2021-05-20,280.8,239.07,153.54,171.86,101.01,8725135
2021-05-21,208.76,118.57,118.73,183.0,112.66,7379955
2021-05-24,191.38,133.31,156.14,167.69,283.88,3062792
2021-05-25,276.41,270.24,194.3,196.53,150.31,2293355
2021-05-26,191.72,254.22,263.5,174.64,254.87,9798244
2021-05-27,244.83,156.29,190.5,128.85,231.43,5681019
2021-05-28,179.81,175.45,294.29,139.76,122.45,4654748
2021-05-31,280.81,285.21,208.33,115.85,258.99,2519019
2021-06-01,238.01,263.62,104.99,193.53,141.48,4375338
2021-06-02,239.92,222.87,183.07,269.08,239.09,3902818
2021-06-03,165.54,144.3,237.78,118.11,176.17,6326946
2021-06-04,251.36,108.85,146.86,231.75,208.95,3653474
2021-06-07,227.21,186.25,239.73,184.04,289.24,8846849
2021-06-08,148.0,234.53,200.74,274.28,151.84,4227872
2021-06-09,132.11,265.7,105.15,172.66,160.22,3032485
2021-06-10,259.28,270.54,254.87,238.89,158.51,3711682
2021-06-11,291.83,106.56,212.07,179.82,174.0,7931583
2021-06-14,191.63,148.83,116.5,208.39,215.32,9664645
2021-06-15,218.2,167.82,195.04,254.99,260.05,4849420
2021-06-16,271.54,137.75,157.46,293.57,278.62,2962791
2021-06-17,191.44,260.6,275.94,126.98,112.24,7424927
2021-06-18,290.37,253.49,156.99,205.82,230.02,9569907
2021-06-21,215.15,203.37,288.34,126.45,218.48,4009301
2021-06-22,264.15,296.59,209.23,106.1,220.19,3928087
2021-06-23,281.77,128.81,164.72,249.59,258.67,4832369
2021-06-24,263.1,279.93,262.71,296.65,287.57,3342844
2021-06-25,131.88,123.29,239.48,219.08,249.65,2588451
2021-06-28,225.78,132.64,182.79,114.49,134.32,1710706
2021-06-29,179.69,239.24,225.92,112.35,290.93,9642504
2021-06-30,112.54,121.91,255.72,162.91,273.04,6709181
2021-07-01,184.81,213.17,270.31,176.18,159.93,8148203
2021-07-02,151.74,184.05,263.28,100.77,124.45,1370088
2021-07-05,269.81,245.69,133.22,268.54,261.2,1777584
2021-07-06,106.66,280.14,265.68,193.72,295.27,6373308
2021-07-07,291.8,253.97,111.73,299.14,125.5,5435910
2021-07-08,171.07,269.94,140.03,276.83,230.27,2318653
2021-07-09,171.34,106.59,224.59,200.16,101.97,1856338
2021-07-12,103.27,162.04,122.94,225.41,107.1,9247767
2021-07-13,137.05,203.09,220.67,162.91,257.04,4138629
2021-07-14,180.25,183.19,161.59,160.67,263.12,7545354
2021-07-15,285.86,146.25,185.89,126.04,169.87,3975587
2021-07-16,119.92,161.57,163.03,209.08,189.59,6589298
2021-07-19,289.06,289.09,114.03,116.33,255.9,3526484
2021-07-20,273.9,158.84,200.15,189.37,271.54,9063040
2021-07-21,190.83,170.78,292.72,164.34,155.22,9841823
2021-07-22,165.34,100.74,222.36,258.11,256.86,4696227
2021-07-23,146.55,269.02,160.01,176.29,140.18,8146430
2021-07-26,222.89,130.97,291.23,280.3,189.47,4616035
2021-07-27,106.61,140.83,177.85,137.91,243.78,7336675
2021-07-28,103.12,151.05,239.5,286.11,237.16,8247320
2021-07-29,185.76,276.92,226.82,218.66,200.46,7809401
2021-07-30,113.61,141.29,290.58,124.05,233.97,4888789
2021-08-02,150.39,259.51,282.92,200.43,110.11,5536916
2021-08-03,144.23,261.61,129.6,153.58,157.65,5544731
2021-08-04,150.64,285.4,117.14,249.81,143.25,4623060
2021-08-05,126.21,123.11,261.93,230.26,116.36,2681765
2021-08-06,102.41,143.46,280.99,112.55,141.54,5209108
2021-08-09,123.1,248.58,198.59,183.51,272.01,8336530
2021-08-10,223.7,139.2,238.15,277.43,279.26,1344394
2021-08-11,294.85,157.27,113.96,181.57,206.62,9279111
2021-08-12,298.07,133.35,143.96,248.73,196.88,5515242
2021-08-13,181.81,134.54,129.88,122.68,192.63,3356671
2021-08-16,132.59,196.31,220.23,273.38,291.81,9236147
2021-08-17,227.75,121.94,139.51,200.49,288.16,4952671
2021-08-18,198.06,164.34,111.97,289.51,143.3,7031265
2021-08-19,297.88,185.32,160.44,207.46,119.0,1750558
2021-08-20,113.06,104.91,235.44,253.85,110.88,1706663
2021-08-23,256.65,177.67,215.57,294.42,171.53,2966454
2021-08-24,157.68,118.82,166.14,245.87,183.51,2718527
2021-08-25,148.28,198.72,266.7,215.45,149.54,2739117
2021-08-26,232.5,265.15,155.25,173.34,284.05,7221246
2021-08-27,149.21,263.68,152.11,108.51,267.43,4601338
2021-08-30,233.17,116.09,211.99,186.51,248.89,3502900
2021-08-31,203.46,220.25,195.64,182.5,196.78,2949490
2021-09-01,184.82,266.92,189.19,264.61,277.3,6706342
2021-09-02,210.94,147.59,131.16,137.85,289.04,9632893
2021-09-03,157.41,252.39,200.93,248.53,277.53,8842091
2021-09-06,241.31,278.15,151.8,107.51,152.27,7124295
2021-09-07,182.97,261.22,178.44,277.27,272.85,1024985
2021-09-08,172.11,121.46,246.71,233.59,170.07,6437392
2021-09-09,265.73,101.81,287.37,184.49,124.65,6516084
2021-09-10,284.99,138.34,254.77,153.1,248.72,5180332
2021-09-13,109.2,154.1,181.13,136.88,261.78,5802498
2021-09-14,146.53,223.24,218.61,217.13,297.36,1404228
2021-09-15,169.7,176.85,249.3,182.05,196.19,6485128
2021-09-16,262.99,240.68,182.84,248.6,150.2,2756385
2021-09-17,297.1,170.61,172.05,281.35,113.08,5201286
2021-09-20,293.79,130.89,127.05,159.13,182.64,4163639
2021-09-21,280.99,162.54,247.25,229.98,215.49,6046045
